"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "XML", "comment", "blank", "total"
"/home/tiger-go/projects/portfolio-projects/trading-journal/README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1, 2
"/home/tiger-go/projects/portfolio-projects/trading-journal/aws/s3Service.js", "JavaScript", 45, 0, 0, 0, 0, 0, 18, 18, 81
"/home/tiger-go/projects/portfolio-projects/trading-journal/aws/s3client.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/package-lock.json", "JSON", 0, 29277, 0, 0, 0, 0, 0, 1, 29278
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 1, 52
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/public/index.html", "HTML", 0, 0, 0, 20, 0, 0, 23, 1, 44
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/App.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 9, 73
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/images/404_image.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/images/hero-image.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/AddJournalModal.js", "JavaScript", 43, 0, 0, 0, 0, 0, 5, 9, 57
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/AddTradeModal.js", "JavaScript", 114, 0, 0, 0, 0, 0, 12, 19, 145
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/Alert.js", "JavaScript", 31, 0, 0, 0, 0, 0, 3, 9, 43
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/Avatar.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 6, 34
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/DashboardComponent.js", "JavaScript", 77, 0, 0, 0, 0, 0, 4, 15, 96
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/EditTradeModal.js", "JavaScript", 208, 0, 0, 0, 0, 0, 30, 40, 278
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/Error.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/Features.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/JournalEntry.js", "JavaScript", 182, 0, 0, 0, 0, 0, 20, 36, 238
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/JournalsComponent.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 4, 21
"/home/tiger-go/projects/portfolio-projects/trading-journal/client/src/assets/wrappers/JournalsList.js", "JavaScript", 58, 0, 0, 0, 0, 0, 3, 9, 70
